Model,Fold,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
RandomForest,1,0.828312949,0.704656863,0.661680092,0.682492582,0.749297095,0.999895817,3.546,0.088
LinearSVC,2,0.656506729,0.667574932,0.281933257,0.396440129,0.650421743,0.633432307,1.688,0.003
LogisticRegression,3,0.656004585,0.665816327,0.300345224,0.413957177,0.653701968,0.636609887,0.036,0.003
XGBoost,4,0.840095153,0.710213777,0.688147296,0.699006429,0.758669166,0.873573996,0.525,0.003
MLP,5,0.775380361,0.731012658,0.265822785,0.389873418,0.661199625,0.723342189,6.698,0.006
BaggedDT,6,0.801199871,0.698499318,0.589182969,0.639200999,0.729147142,0.984528833,0.654,0.011
NaiveBayes,7,0.635425299,0.333333333,0.012658228,0.024390244,0.587628866,0.589206647,0.015,0.003
KNN,8,0.708474145,0.588023952,0.565017261,0.57629108,0.661668229,0.781945096,1.792,0.202
RandomForest,9,0.83464325,0.721189591,0.669735328,0.69451074,0.759962494,0.999895822,3.63,0.088
LinearSVC,10,0.646811408,0.620879121,0.260069045,0.366585564,0.633849039,0.634909886,1.915,0.003
LogisticRegression,11,0.646774082,0.625336927,0.266973533,0.374193548,0.636193155,0.638451922,0.032,0.003
XGBoost,12,0.838193817,0.705250597,0.68009206,0.692442882,0.753867792,0.868788415,0.534,0.002
MLP,13,0.776858676,0.845410628,0.201380898,0.32527881,0.659634318,0.720439629,6.698,0.005
BaggedDT,14,0.815951334,0.72386059,0.621403913,0.66873065,0.749179559,0.984633816,0.646,0.01
NaiveBayes,15,0.647433668,0.433333333,0.014959724,0.028921023,0.5907173,0.589644755,0.014,0.003
KNN,16,0.718018947,0.59697733,0.545454545,0.570054119,0.664791374,0.784248359,1.736,0.196
RandomForest,17,0.835300105,0.723667906,0.672036824,0.696897375,0.761837787,0.999895822,3.605,0.087
LinearSVC,18,0.6285797,0.62,0.249712313,0.356029532,0.631973746,0.634909886,1.776,0.003
LogisticRegression,19,0.629730448,0.61281337,0.253164557,0.358306189,0.630567276,0.637358058,0.031,0.003
XGBoost,20,0.82828819,0.71339174,0.655926352,0.683453237,0.752461322,0.880925096,0.596,0.003
MLP,21,0.761828852,0.678571429,0.50287687,0.577660278,0.700421941,0.722679446,6.689,0
BaggedDT,22,0.815136069,0.719891746,0.612197929,0.661691542,0.74496015,0.985206792,0.641,0
NaiveBayes,23,0.653683122,0.25,0.008055236,0.015607581,0.586029067,0.589071778,0.014,0.004
KNN,24,0.719811073,0.611688312,0.542002301,0.574740696,0.673230192,0.781904365,1.712,0.189
RandomForest,25,0.84451929,0.730478589,0.667433832,0.697534576,0.764181903,0.999947911,3.501,0.086
LinearSVC,26,0.644983321,0.64619883,0.254315305,0.364987614,0.639474918,0.634701531,1.716,0
LogisticRegression,27,0.643083313,0.628415301,0.264672037,0.372469636,0.636661978,0.639285342,0.047,0
XGBoost,28,0.844539774,0.724009901,0.673187572,0.697674419,0.76230661,0.875872487,0.547,0
MLP,29,0.749240725,0.750929368,0.232451093,0.355008787,0.655883732,0.717105949,6.457,0
BaggedDT,30,0.825952098,0.739010989,0.619102417,0.673763306,0.755743085,0.982862798,0.625,0.017
NaiveBayes,31,0.64486679,0.342105263,0.014959724,0.028665932,0.586966714,0.589332222,0.015,0.003
KNN,32,0.739847653,0.629584352,0.592635213,0.610551274,0.691983122,0.781331389,1.754,0.203
RandomForest,33,0.834221279,0.717121588,0.665132336,0.690149254,0.756680731,0.999947911,3.5,0.094
LinearSVC,34,0.648840694,0.644314869,0.254315305,0.364686469,0.639006095,0.634857798,1.713,0
LogisticRegression,35,0.648946301,0.664804469,0.273878021,0.38793806,0.647913737,0.636524638,0.031,0
XGBoost,36,0.850334937,0.723844282,0.684695052,0.703725606,0.76511955,0.874934889,0.533,0
MLP,37,0.801142736,0.79253112,0.219792865,0.344144144,0.658696671,0.716376706,6.442,0
BaggedDT,38,0.820868869,0.722580645,0.644418872,0.681265207,0.754336615,0.985883946,0.633,0.016
NaiveBayes,39,0.631724684,0.342857143,0.013808976,0.026548673,0.587435537,0.589228045,0.014,0.003
KNN,40,0.714086011,0.61423221,0.566168009,0.589221557,0.678387248,0.784925513,1.817,0.203
RandomForest,41,0.829959687,0.718397997,0.660529344,0.6882494,0.756211908,0.999895822,3.489,0.094
LinearSVC,42,0.626837191,0.627272727,0.238204833,0.34528774,0.631973746,0.636212105,1.712,0
LogisticRegression,43,0.625995069,0.621776504,0.249712313,0.356321839,0.632442569,0.639597875,0.047,0
XGBoost,44,0.843299351,0.722222222,0.688147296,0.704773129,0.76511955,0.8707157,0.547,0
MLP,45,0.769039235,0.681481481,0.529344074,0.595854922,0.70745429,0.722314824,6.441,0
BaggedDT,46,0.807384907,0.707417582,0.592635213,0.644959299,0.734177215,0.984269195,0.625,0
NaiveBayes,47,0.642247564,0.459459459,0.019562716,0.037527594,0.591186123,0.588811335,0.015,0.003
KNN,48,0.719224319,0.607643312,0.548906789,0.576783555,0.671823722,0.78336285,1.784,0.203
RandomForest,49,0.842254665,0.716564417,0.672036824,0.693586698,0.758087201,0.999895822,3.521,0.078
LinearSVC,50,0.647141884,0.630681818,0.255466053,0.363636364,0.635724332,0.635326597,1.681,0
LogisticRegression,51,0.643804351,0.636363636,0.265822785,0.375,0.639006095,0.638868632,0.047,0
XGBoost,52,0.839492506,0.705035971,0.676639816,0.690546095,0.752930145,0.873945203,0.531,0
MLP,53,0.774204855,0.736111111,0.36593786,0.488854727,0.688232536,0.71705386,6.491,0.016
BaggedDT,54,0.817859536,0.717847769,0.629459148,0.670754139,0.748241913,0.984425461,0.625,0.016
NaiveBayes,55,0.636012221,0.40625,0.014959724,0.028856826,0.589779653,0.588967601,0.015,0.003
KNN,56,0.724992626,0.606396064,0.567318757,0.586206897,0.673699015,0.782008543,1.806,0.203
RandomForest,57,0.829641047,0.704957678,0.670886076,0.6875,0.751523676,0.999947911,3.512,0.094
LinearSVC,58,0.620209465,0.578082192,0.242807825,0.34197731,0.619315518,0.636680904,1.713,0
LogisticRegression,59,0.620823987,0.578249337,0.250863061,0.349919743,0.620253165,0.640900094,0.047,0
XGBoost,60,0.836532334,0.708920188,0.695051784,0.70191749,0.759493671,0.87238254,0.531,0.016
MLP,61,0.751508536,0.669131238,0.416570771,0.513475177,0.678387248,0.721689759,6.478,0
BaggedDT,62,0.808831536,0.687747036,0.600690449,0.641277641,0.72620722,0.98447755,0.641,0.016
NaiveBayes,63,0.633343378,0.375,0.010356732,0.020156775,0.589779653,0.58901969,0.013,0.003
KNN,64,0.708175227,0.59057072,0.547756041,0.568358209,0.661040788,0.783414939,1.757,0.203
RandomForest,65,0.84023424,0.712394705,0.68202765,0.696880518,0.758556024,0.999895822,3.503,0.078
LinearSVC,66,0.617527003,0.600550964,0.251152074,0.354183591,0.627285513,0.636212105,1.713,0
LogisticRegression,67,0.617445037,0.594805195,0.263824885,0.365522745,0.627285513,0.640535472,0.031,0
XGBoost,68,0.842148595,0.712212817,0.678571429,0.694985251,0.757618378,0.875507865,0.547,0
MLP,69,0.769913116,0.608943863,0.737327189,0.66701407,0.700421941,0.720543807,6.478,0
BaggedDT,70,0.824265951,0.720812183,0.65437788,0.685990338,0.756211908,0.985988124,0.641,0.016
NaiveBayes,71,0.648062421,0.464285714,0.014976959,0.029017857,0.592123769,0.588759246,0.013,0.002
KNN,72,0.722938562,0.595561036,0.556451613,0.575342466,0.66572902,0.783623294,1.728,0.188
RandomForest,73,0.836951057,0.727728984,0.668202765,0.696696697,0.763244257,0.999895822,3.502,0.078
LinearSVC,74,0.653935265,0.658602151,0.282258065,0.39516129,0.64838256,0.633868111,1.689,0
LogisticRegression,75,0.655204823,0.666666667,0.294930876,0.408945687,0.653070792,0.636472549,0.031,0
XGBoost,76,0.84122648,0.709443099,0.675115207,0.691853601,0.755274262,0.868527972,0.532,0
MLP,77,0.769096191,0.771043771,0.263824885,0.393133047,0.66854196,0.719658298,6.489,0.016
BaggedDT,78,0.816012003,0.710455764,0.610599078,0.656753408,0.740271917,0.984269195,0.625,0.016
NaiveBayes,79,0.641334402,0.333333333,0.00921659,0.01793722,0.58931083,0.589384311,0.014,0.003
KNN,80,0.734332253,0.637974684,0.580645161,0.607961399,0.695264885,0.781331389,1.725,0.187
